species,photo_id,url,license,author,author_login,observed_on,source_page,attribution
Chelonia mydas,359580154,https://inaturalist-open-data.s3.amazonaws.com/photos/359580154/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Chelonia mydas,359580188,https://inaturalist-open-data.s3.amazonaws.com/photos/359580188/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Chelonia mydas,359580173,https://inaturalist-open-data.s3.amazonaws.com/photos/359580173/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Chelonia mydas,359580199,https://inaturalist-open-data.s3.amazonaws.com/photos/359580199/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Chelonia mydas,359580215,https://inaturalist-open-data.s3.amazonaws.com/photos/359580215/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Chelonia mydas,226920324,https://inaturalist-open-data.s3.amazonaws.com/photos/226920324/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Chelonia mydas,226920175,https://inaturalist-open-data.s3.amazonaws.com/photos/226920175/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Chelonia mydas,226920249,https://inaturalist-open-data.s3.amazonaws.com/photos/226920249/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Chelonia mydas,226921362,https://inaturalist-open-data.s3.amazonaws.com/photos/226921362/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Chelonia mydas,58917865,https://inaturalist-open-data.s3.amazonaws.com/photos/58917865/medium.jpg,CC-BY 4.0,Don Loarie,dloarie,2020-01-01,https://www.inaturalist.org/observations/37190986,"© Don Loarie, some rights reserved (CC-BY)"
