species,photo_id,url,license,author,author_login,observed_on,source_page,attribution,sha256
Abudefduf saxatilis,391414349,https://inaturalist-open-data.s3.amazonaws.com/photos/391414349/medium.jpg,CC-BY 4.0,Roger A. Morales-Flores,caribbeannaturalist,2024-06-05,https://www.inaturalist.org/observations/221040323,"© Roger A. Morales-Flores, some rights reserved (CC-BY)",404f701222fc1db71f222a73e09ffde84d65c87ee3494661429c04258d54ec93
Abudefduf saxatilis,712148251,https://inaturalist-open-data.s3.amazonaws.com/photos/712148251/medium.jpg,CC-BY 4.0,Pauline Walsh Jacobson,coralreefdreams,2025-06-17,https://www.inaturalist.org/observations/388812438,"© Pauline Walsh Jacobson, some rights reserved (CC-BY)",db2619630e8f3f3d727b1a7702fa3e0659ce7b7f3cbb8c285635cf86685e973a
Abudefduf saxatilis,540318329,https://inaturalist-open-data.s3.amazonaws.com/photos/540318329/medium.jpg,CC-BY 4.0,João D'Andretta,jpdandretta,2023-09-02,https://www.inaturalist.org/observations/299903020,"© João D'Andretta, some rights reserved (CC-BY)",60c851e9846f8871767675977ca96c37f8f2087a844b07745e6b8c40d2acfd23
Abudefduf saxatilis,540318367,https://inaturalist-open-data.s3.amazonaws.com/photos/540318367/medium.jpg,CC-BY 4.0,João D'Andretta,jpdandretta,2023-09-02,https://www.inaturalist.org/observations/299903020,"© João D'Andretta, some rights reserved (CC-BY)",c92bd417d349c935e60258af5d5447a1e5a8f791bae350f65bc1c50767252f67
Abudefduf saxatilis,706277970,https://inaturalist-open-data.s3.amazonaws.com/photos/706277970/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-08-21,https://www.inaturalist.org/observations/385780102,"© Donald Davesne, some rights reserved (CC-BY)",fe70a319dab6df4ae4ffd0f0f46da804bebbc3ac890a1632bb32e02b6a087330
Abudefduf saxatilis,161750815,https://inaturalist-open-data.s3.amazonaws.com/photos/161750815/medium.jpg,CC-BY 4.0,Pauline Walsh Jacobson,coralreefdreams,2018-08-17,https://www.inaturalist.org/observations/97277899,"© Pauline Walsh Jacobson, some rights reserved (CC-BY)",2f095dea715e7c318eed74b3d0fbc9871cdeaab575f949b5441df50d77ac80a5
Abudefduf saxatilis,65663415,https://inaturalist-open-data.s3.amazonaws.com/photos/65663415/medium.jpg,CC-BY 4.0,Tim Hirsch,timhirsch,2020-04-04,https://www.inaturalist.org/observations/41394554,"© Tim Hirsch, some rights reserved (CC-BY)",91893efd235d50862f276b8f190a8200f2faf7ad70d9e3fe4f499f203c019a89
Abudefduf saxatilis,65663448,https://inaturalist-open-data.s3.amazonaws.com/photos/65663448/medium.jpg,CC-BY 4.0,Tim Hirsch,timhirsch,2020-04-04,https://www.inaturalist.org/observations/41394554,"© Tim Hirsch, some rights reserved (CC-BY)",b683344fa3b346a8209d6c230d2cbb4dacfd598bf1f5151c9db56468298b8de3
Abudefduf saxatilis,65663387,https://inaturalist-open-data.s3.amazonaws.com/photos/65663387/medium.jpg,CC-BY 4.0,Tim Hirsch,timhirsch,2020-04-04,https://www.inaturalist.org/observations/41394554,"© Tim Hirsch, some rights reserved (CC-BY)",9417fd9909e4d6675b3331cee31a99216f313a19c0dd8800d9bd8d8a007bfd2c
Abudefduf saxatilis,450921811,https://inaturalist-open-data.s3.amazonaws.com/photos/450921811/medium.jpeg,CC-BY 4.0,James-LaFontaine,jameslafo,2022-01-07,https://www.inaturalist.org/observations/251952193,"© James-LaFontaine, some rights reserved (CC-BY)",032a7bd82a66cf08a6c9e1629027641f1fb17979f03fb63ac0a1852bb268334f
