species,photo_id,url,license,author,author_login,observed_on,source_page,attribution
Caretta caretta,183028089,https://inaturalist-open-data.s3.amazonaws.com/photos/183028089/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2022-03-12,https://www.inaturalist.org/observations/108680443,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)"
Caretta caretta,183028111,https://inaturalist-open-data.s3.amazonaws.com/photos/183028111/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2022-03-12,https://www.inaturalist.org/observations/108680443,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)"
Caretta caretta,354744263,https://inaturalist-open-data.s3.amazonaws.com/photos/354744263/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2022-03-12,https://www.inaturalist.org/observations/108680443,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)"
Caretta caretta,354744278,https://inaturalist-open-data.s3.amazonaws.com/photos/354744278/medium.jpeg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2022-03-12,https://www.inaturalist.org/observations/108680443,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)"
Caretta caretta,158956388,https://inaturalist-open-data.s3.amazonaws.com/photos/158956388/medium.jpg,CC-BY 4.0,Bill Levine,blevine,2021-09-19,https://www.inaturalist.org/observations/95727817,"© Bill Levine, some rights reserved (CC-BY)"
Caretta caretta,158956397,https://inaturalist-open-data.s3.amazonaws.com/photos/158956397/medium.jpg,CC-BY 4.0,Bill Levine,blevine,2021-09-19,https://www.inaturalist.org/observations/95727817,"© Bill Levine, some rights reserved (CC-BY)"
Caretta caretta,158956406,https://inaturalist-open-data.s3.amazonaws.com/photos/158956406/medium.jpg,CC-BY 4.0,Bill Levine,blevine,2021-09-19,https://www.inaturalist.org/observations/95727817,"© Bill Levine, some rights reserved (CC-BY)"
Caretta caretta,158956428,https://inaturalist-open-data.s3.amazonaws.com/photos/158956428/medium.jpg,CC-BY 4.0,Bill Levine,blevine,2021-09-19,https://www.inaturalist.org/observations/95727817,"© Bill Levine, some rights reserved (CC-BY)"
Caretta caretta,44650,https://inaturalist-open-data.s3.amazonaws.com/photos/44650/medium.jpeg,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2003-07-21,https://www.inaturalist.org/observations/24641,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Caretta caretta,44653,https://inaturalist-open-data.s3.amazonaws.com/photos/44653/medium.jpg,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2003-07-21,https://www.inaturalist.org/observations/24641,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Caretta caretta,359580154,https://inaturalist-open-data.s3.amazonaws.com/photos/359580154/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Caretta caretta,359580188,https://inaturalist-open-data.s3.amazonaws.com/photos/359580188/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Caretta caretta,359580173,https://inaturalist-open-data.s3.amazonaws.com/photos/359580173/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Caretta caretta,359580199,https://inaturalist-open-data.s3.amazonaws.com/photos/359580199/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Caretta caretta,359580215,https://inaturalist-open-data.s3.amazonaws.com/photos/359580215/medium.jpg,CC-BY 4.0,Jared Shorma,blazeclaw,2024-03-22,https://www.inaturalist.org/observations/203511811,"© Jared Shorma, some rights reserved (CC-BY)"
Caretta caretta,1375632,https://inaturalist-open-data.s3.amazonaws.com/photos/1375632/medium.JPG,CC-BY 4.0,Iván Cumpián,ivancumpian,2012-11-21,https://www.inaturalist.org/observations/1094777,"© Iván Cumpián, some rights reserved (CC-BY)"
Caretta caretta,1375633,https://inaturalist-open-data.s3.amazonaws.com/photos/1375633/medium.JPG,CC-BY 4.0,Iván Cumpián,ivancumpian,2012-11-21,https://www.inaturalist.org/observations/1094777,"© Iván Cumpián, some rights reserved (CC-BY)"
Caretta caretta,226920324,https://inaturalist-open-data.s3.amazonaws.com/photos/226920324/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Caretta caretta,226920175,https://inaturalist-open-data.s3.amazonaws.com/photos/226920175/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Caretta caretta,226920249,https://inaturalist-open-data.s3.amazonaws.com/photos/226920249/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Caretta caretta,226921362,https://inaturalist-open-data.s3.amazonaws.com/photos/226921362/medium.png,CC-BY 4.0,Kyle Van Houtan,vanhoutan,2017-06-13,https://www.inaturalist.org/observations/133239640,"© Kyle Van Houtan, some rights reserved (CC-BY)"
Caretta caretta,428968449,https://inaturalist-open-data.s3.amazonaws.com/photos/428968449/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-09-08,https://www.inaturalist.org/observations/240748882,"© Michael Bommerer, some rights reserved (CC-BY)"
Caretta caretta,428968478,https://inaturalist-open-data.s3.amazonaws.com/photos/428968478/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-09-08,https://www.inaturalist.org/observations/240748882,"© Michael Bommerer, some rights reserved (CC-BY)"
Caretta caretta,428968520,https://inaturalist-open-data.s3.amazonaws.com/photos/428968520/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-09-08,https://www.inaturalist.org/observations/240748882,"© Michael Bommerer, some rights reserved (CC-BY)"
Caretta caretta,428968560,https://inaturalist-open-data.s3.amazonaws.com/photos/428968560/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-09-08,https://www.inaturalist.org/observations/240748882,"© Michael Bommerer, some rights reserved (CC-BY)"
Caretta caretta,428968596,https://inaturalist-open-data.s3.amazonaws.com/photos/428968596/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-09-08,https://www.inaturalist.org/observations/240748882,"© Michael Bommerer, some rights reserved (CC-BY)"
