species,photo_id,url,license,author,author_login,observed_on,source_page,attribution
Arothron hispidus,616109363,https://inaturalist-open-data.s3.amazonaws.com/photos/616109363/medium.jpg,CC-BY 4.0,Jan Ebr &amp; Ivana Ebrová,opisska,2026-02-01,https://www.inaturalist.org/observations/338756738,"© Jan Ebr &amp; Ivana Ebrová, some rights reserved (CC-BY)"
Arothron hispidus,434550032,https://inaturalist-open-data.s3.amazonaws.com/photos/434550032/medium.jpeg,CC-BY 4.0,Michal Maňas,michalmanas,2022-04-30,https://www.inaturalist.org/observations/243680407,"© Michal Maňas, some rights reserved (CC-BY)"
Arothron hispidus,434551657,https://inaturalist-open-data.s3.amazonaws.com/photos/434551657/medium.jpeg,CC-BY 4.0,Michal Maňas,michalmanas,2022-04-30,https://www.inaturalist.org/observations/243680407,"© Michal Maňas, some rights reserved (CC-BY)"
Arothron hispidus,452166705,https://inaturalist-open-data.s3.amazonaws.com/photos/452166705/medium.jpeg,CC-BY 4.0,Jeremy Jones,jeremyjones_pix,2023-04-22,https://www.inaturalist.org/observations/252574729,"© Jeremy Jones, some rights reserved (CC-BY)"
Arothron hispidus,269241022,https://inaturalist-open-data.s3.amazonaws.com/photos/269241022/medium.jpg,CC-BY 4.0,portioid,portioid,2023-04-20,https://www.inaturalist.org/observations/155741388,"© portioid, some rights reserved (CC-BY)"
Arothron hispidus,269241044,https://inaturalist-open-data.s3.amazonaws.com/photos/269241044/medium.jpg,CC-BY 4.0,portioid,portioid,2023-04-20,https://www.inaturalist.org/observations/155741388,"© portioid, some rights reserved (CC-BY)"
Arothron hispidus,269241065,https://inaturalist-open-data.s3.amazonaws.com/photos/269241065/medium.jpg,CC-BY 4.0,portioid,portioid,2023-04-20,https://www.inaturalist.org/observations/155741388,"© portioid, some rights reserved (CC-BY)"
Arothron hispidus,269241068,https://inaturalist-open-data.s3.amazonaws.com/photos/269241068/medium.jpg,CC-BY 4.0,portioid,portioid,2023-04-20,https://www.inaturalist.org/observations/155741388,"© portioid, some rights reserved (CC-BY)"
Arothron hispidus,449856126,https://inaturalist-open-data.s3.amazonaws.com/photos/449856126/medium.jpg,CC-BY 4.0,Ben Costamagna,bencostamagna,2024-10-26,https://www.inaturalist.org/observations/251415785,"© Ben Costamagna, some rights reserved (CC-BY)"
Arothron hispidus,362583241,https://inaturalist-open-data.s3.amazonaws.com/photos/362583241/medium.jpeg,CC-BY 4.0,Christian Berg,ch_berg,2024-03-26,https://www.inaturalist.org/observations/205098254,"© Christian Berg, some rights reserved (CC-BY)"
Arothron hispidus,362583635,https://inaturalist-open-data.s3.amazonaws.com/photos/362583635/medium.jpeg,CC-BY 4.0,Christian Berg,ch_berg,2024-03-26,https://www.inaturalist.org/observations/205098254,"© Christian Berg, some rights reserved (CC-BY)"
