species,photo_id,url,license,author,author_login,observed_on,source_page,attribution,sha256
Epinephelus marginatus,74787632,https://inaturalist-open-data.s3.amazonaws.com/photos/74787632/medium.jpeg,CC-BY 4.0,Fábio Olmos,fabio_olmos,2014-07-06,https://www.inaturalist.org/observations/47162116,"© Fábio Olmos, some rights reserved (CC-BY)",4ac626522334a021782e2ad5a3df2bfe7de48ac10ea3c6d7711cf3844479b6b0
Epinephelus marginatus,524405508,https://inaturalist-open-data.s3.amazonaws.com/photos/524405508/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-06-09,https://www.inaturalist.org/observations/291461540,"© Donald Davesne, some rights reserved (CC-BY)",46a0b76583f90f44b1e49cf33c5d0abb1c107941459afc431ad0ab56230d774c
Epinephelus marginatus,524405465,https://inaturalist-open-data.s3.amazonaws.com/photos/524405465/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-06-09,https://www.inaturalist.org/observations/291461540,"© Donald Davesne, some rights reserved (CC-BY)",343eaacf419d256ac013d1b9b41de4f84fb69ef8015c67baeb99b124cbcacdaa
Epinephelus marginatus,135730263,https://inaturalist-open-data.s3.amazonaws.com/photos/135730263/medium.jpg,CC-BY 4.0,jeyre,jeyre,2016-08-03,https://www.inaturalist.org/observations/82684867,"© jeyre, some rights reserved (CC-BY)",09aae8e57e5158784dc475ff1b3aa01242970a7941ded2971ef1b5ba6ff0458a
Epinephelus marginatus,445888480,https://inaturalist-open-data.s3.amazonaws.com/photos/445888480/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-10-28,https://www.inaturalist.org/observations/249435648,"© Michael Bommerer, some rights reserved (CC-BY)",8d947058fbed0281e76b5fc71b981d9128f2a4b94b95f57e1c242ba06c56e655
Epinephelus marginatus,445888519,https://inaturalist-open-data.s3.amazonaws.com/photos/445888519/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-10-28,https://www.inaturalist.org/observations/249435648,"© Michael Bommerer, some rights reserved (CC-BY)",d9e040a83bf700317c3bb92cdbd3bb180f1cfc3d25e5829ce2f07f8876b83a20
Epinephelus marginatus,445888559,https://inaturalist-open-data.s3.amazonaws.com/photos/445888559/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-10-28,https://www.inaturalist.org/observations/249435648,"© Michael Bommerer, some rights reserved (CC-BY)",1db626c732d2cc740cdee8c96d8f48063ebad69ec1db47aaa21b5511debc1084
Epinephelus marginatus,379479814,https://inaturalist-open-data.s3.amazonaws.com/photos/379479814/medium.jpg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-05-08,https://www.inaturalist.org/observations/214679131,"© Michael Bommerer, some rights reserved (CC-BY)",62cd2134b4d2b8e68256ce53e40f639fafad773322317254356f86a2918c526e
Epinephelus marginatus,379479841,https://inaturalist-open-data.s3.amazonaws.com/photos/379479841/medium.jpg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-05-08,https://www.inaturalist.org/observations/214679131,"© Michael Bommerer, some rights reserved (CC-BY)",6770eafd3fd7104eada69fec5986d5be8d2e3a4be4568817895d735d698b2415
Epinephelus marginatus,91422527,https://inaturalist-open-data.s3.amazonaws.com/photos/91422527/medium.jpeg,CC-BY 4.0,Katerina Kalogerini,katerinakalogerini,2020-08-23,https://www.inaturalist.org/observations/57322066,"© Katerina Kalogerini, some rights reserved (CC-BY)",c83f614b96c80e0352733a23eecf7a02994341592cd9afd5b0ba14fc3e0390e4
Epinephelus marginatus,91422549,https://inaturalist-open-data.s3.amazonaws.com/photos/91422549/medium.jpeg,CC-BY 4.0,Katerina Kalogerini,katerinakalogerini,2020-08-23,https://www.inaturalist.org/observations/57322066,"© Katerina Kalogerini, some rights reserved (CC-BY)",5a1d36dfbeb2236e92642339796b1fb45defdc4e69598ef0a9c06468f652a575
Epinephelus marginatus,91422586,https://inaturalist-open-data.s3.amazonaws.com/photos/91422586/medium.jpeg,CC-BY 4.0,Katerina Kalogerini,katerinakalogerini,2020-08-23,https://www.inaturalist.org/observations/57322066,"© Katerina Kalogerini, some rights reserved (CC-BY)",3dbd410d82c0cee781b1cb4331bc8b5b4d99a42f7d04d062dec88d805202ad0c
Epinephelus marginatus,91422603,https://inaturalist-open-data.s3.amazonaws.com/photos/91422603/medium.jpeg,CC-BY 4.0,Katerina Kalogerini,katerinakalogerini,2020-08-23,https://www.inaturalist.org/observations/57322066,"© Katerina Kalogerini, some rights reserved (CC-BY)",4ae27256d62afad7efc729e007aea8ce3ce5fa7138644d79aa49e4108ddf79fa
Epinephelus marginatus,424453413,https://inaturalist-open-data.s3.amazonaws.com/photos/424453413/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-08-27,https://www.inaturalist.org/observations/238413618,"© Michael Bommerer, some rights reserved (CC-BY)",c4998bbaae7c79e47e2a1252a5d2c8f0d39046e1a69e970a55aee8fbb25809b5
Epinephelus marginatus,424453539,https://inaturalist-open-data.s3.amazonaws.com/photos/424453539/medium.jpeg,CC-BY 4.0,Michael Bommerer,michael_bommerer,2024-08-27,https://www.inaturalist.org/observations/238413618,"© Michael Bommerer, some rights reserved (CC-BY)",b8fd5520ec47deb59eb0b211e76783814ee43d444e539b5b2d4a44b0528ec20f
Epinephelus marginatus,393156623,https://inaturalist-open-data.s3.amazonaws.com/photos/393156623/medium.jpeg,CC-BY 4.0,Chris Taklis,ctaklis,2024-06-09,https://www.inaturalist.org/observations/221976400,"© Chris Taklis, some rights reserved (CC-BY)",e538aa082fa06d9cdcbed20f47c02657b93803b3fbaa0496ba2c1380a8d7b9d9
Epinephelus marginatus,393156479,https://inaturalist-open-data.s3.amazonaws.com/photos/393156479/medium.jpeg,CC-BY 4.0,Chris Taklis,ctaklis,2024-06-09,https://www.inaturalist.org/observations/221976400,"© Chris Taklis, some rights reserved (CC-BY)",9213e69a299567529e2feed054a11c5172712259d8a04f44f3493b6d6f555c8e
Epinephelus marginatus,393156473,https://inaturalist-open-data.s3.amazonaws.com/photos/393156473/medium.jpeg,CC-BY 4.0,Chris Taklis,ctaklis,2024-06-09,https://www.inaturalist.org/observations/221976400,"© Chris Taklis, some rights reserved (CC-BY)",7f46eb0ef45063bc149095b9ecf45be89fb92c1bf2a266284d55107dc1461207
Epinephelus marginatus,555245209,https://inaturalist-open-data.s3.amazonaws.com/photos/555245209/medium.jpg,CC-BY 4.0,Sergio Garrido Villa,sergiogarrido,2025-08-18,https://www.inaturalist.org/observations/307822122,"© Sergio Garrido Villa, some rights reserved (CC-BY)",bc637d312bd0c232aa61dabdb94dd19a3ef38a903857805c3bfd6fce445faa0f
Epinephelus marginatus,555245208,https://inaturalist-open-data.s3.amazonaws.com/photos/555245208/medium.jpg,CC-BY 4.0,Sergio Garrido Villa,sergiogarrido,2025-08-18,https://www.inaturalist.org/observations/307822122,"© Sergio Garrido Villa, some rights reserved (CC-BY)",9dc10eefb567b0d3e54e57656e59a47facbbfa63da17c139b376d0c9adf804b0
Epinephelus marginatus,555245225,https://inaturalist-open-data.s3.amazonaws.com/photos/555245225/medium.jpg,CC-BY 4.0,Sergio Garrido Villa,sergiogarrido,2025-08-18,https://www.inaturalist.org/observations/307822122,"© Sergio Garrido Villa, some rights reserved (CC-BY)",31020010a80475ffe0d64e7b9b21a87c12a409a2c20cfd42d98225a202c07431
Epinephelus marginatus,546019352,https://inaturalist-open-data.s3.amazonaws.com/photos/546019352/medium.jpg,CC-BY 4.0,Dan Wrench,dantn,2025-08-01,https://www.inaturalist.org/observations/302958338,"© Dan Wrench, some rights reserved (CC-BY)",a1aa3c9ff4a9b8284d7d6a620425018e007ac7a1ea8d60b6dfa62e3904f66c26
Epinephelus marginatus,520337400,https://inaturalist-open-data.s3.amazonaws.com/photos/520337400/medium.jpg,CC-BY 4.0,Charlotte Kirchner,charlottekirchner,2025-06-13,https://www.inaturalist.org/observations/289304075,"© Charlotte Kirchner, some rights reserved (CC-BY)",5711e4d745ad5b193806abcb7e4c0bb0abe403df27976bca757a899d49ca4573
Epinephelus marginatus,222485532,https://inaturalist-open-data.s3.amazonaws.com/photos/222485532/medium.jpg,CC-BY 4.0,Sarah Faulwetter,sarahfaulwetter,2007-06-23,https://www.inaturalist.org/observations/130796312,"© Sarah Faulwetter, some rights reserved (CC-BY)",a40de972caedf7c02975bac6bbba4136274fe391a13ac8d2c44da4a5a7d91624
Epinephelus marginatus,546281917,https://inaturalist-open-data.s3.amazonaws.com/photos/546281917/medium.jpg,CC-BY 4.0,Sarah Faulwetter,sarahfaulwetter,2025-08-02,https://www.inaturalist.org/observations/303101928,"© Sarah Faulwetter, some rights reserved (CC-BY)",5ab010fcbbe4809ed068ca68f95bdb5014e6fecbd5019bc810979596be3063e2
Epinephelus marginatus,261072999,https://inaturalist-open-data.s3.amazonaws.com/photos/261072999/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2022-12-23,https://www.inaturalist.org/observations/151321547,"© Donald Davesne, some rights reserved (CC-BY)",7e3f04deb34b51cc9c92e28d7073a372d2bc6fbdaca0a6fc5f2df93b4b25c7f0
Epinephelus marginatus,261072987,https://inaturalist-open-data.s3.amazonaws.com/photos/261072987/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2022-12-23,https://www.inaturalist.org/observations/151321547,"© Donald Davesne, some rights reserved (CC-BY)",38680c09aea23a40acd35daa7f9a9d176d7934bc830494f0df76564ce1eb32ff
Epinephelus marginatus,261073048,https://inaturalist-open-data.s3.amazonaws.com/photos/261073048/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2022-12-23,https://www.inaturalist.org/observations/151321547,"© Donald Davesne, some rights reserved (CC-BY)",fa6ed897ecb16a36a31f9efbb8b4a19d0a1c08b4f336f2f70d947f16657c311a
Epinephelus marginatus,524405357,https://inaturalist-open-data.s3.amazonaws.com/photos/524405357/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-06-09,https://www.inaturalist.org/observations/291461532,"© Donald Davesne, some rights reserved (CC-BY)",d1ae0f06bf4c85cb705f777523ed7d00ec9a4cce7cbe9c8f9565a9c62507045d
Epinephelus marginatus,524405369,https://inaturalist-open-data.s3.amazonaws.com/photos/524405369/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2025-06-09,https://www.inaturalist.org/observations/291461532,"© Donald Davesne, some rights reserved (CC-BY)",c852ca5396f8a295583fa0efc76f02a7a5e5a56a9efc1231fe049bd5143156c4
Coris julis,508415688,https://inaturalist-open-data.s3.amazonaws.com/photos/508415688/medium.jpg,CC-BY 4.0,Selim Türeli,selimtureli,2025-05-19,https://www.inaturalist.org/observations/282965904,"© Selim Türeli, some rights reserved (CC-BY)",de8c69fecde98ab6a43926c997c95bb5490438233647caab49c5218738188af3
Coris julis,508415760,https://inaturalist-open-data.s3.amazonaws.com/photos/508415760/medium.jpg,CC-BY 4.0,Selim Türeli,selimtureli,2025-05-19,https://www.inaturalist.org/observations/282965904,"© Selim Türeli, some rights reserved (CC-BY)",411bf6de2b3b519bbae6382aa14051d90397f0b099f977795050e6cbcdca07ca
Coris julis,150634644,https://inaturalist-open-data.s3.amazonaws.com/photos/150634644/medium.jpeg,CC-BY 4.0,Thomas Dreux,thomtom,2021-07-30,https://www.inaturalist.org/observations/91101796,"© Thomas Dreux, some rights reserved (CC-BY)",fd3b58130ada3eca9ca6c8cc7c2f1ff5d9ae59185a980caf0d17b4077c752123
Coris julis,150634652,https://inaturalist-open-data.s3.amazonaws.com/photos/150634652/medium.jpeg,CC-BY 4.0,Thomas Dreux,thomtom,2021-07-30,https://www.inaturalist.org/observations/91101796,"© Thomas Dreux, some rights reserved (CC-BY)",fbaa25988ba81da9206a7ee3dc4db6bb533550b9cb2c811ab51f558a09b451cf
Coris julis,150634674,https://inaturalist-open-data.s3.amazonaws.com/photos/150634674/medium.jpeg,CC-BY 4.0,Thomas Dreux,thomtom,2021-07-30,https://www.inaturalist.org/observations/91101796,"© Thomas Dreux, some rights reserved (CC-BY)",97c52324d4ba5d9e40e0bd4a2a1f9bf74fb3c5a7113aa45604fa36aa0dceaf4c
Coris julis,364881584,https://inaturalist-open-data.s3.amazonaws.com/photos/364881584/medium.jpeg,CC-BY 4.0,Nicola Crockford,nicolacrockford,2021-09-13,https://www.inaturalist.org/observations/206307897,"© Nicola Crockford, some rights reserved (CC-BY)",4490dd4841424abc19967d0e8b2a705e1696779f2c43327311f0f8e08e5b54b2
Coris julis,427879056,https://inaturalist-open-data.s3.amazonaws.com/photos/427879056/medium.jpeg,CC-BY 4.0,Sarah Faulwetter,sarahfaulwetter,2024-09-06,https://www.inaturalist.org/observations/240189337,"© Sarah Faulwetter, some rights reserved (CC-BY)",3fc4775809b8b67ed2bee4ef3fa80ee0ae61994b685d039278b13aaf62104096
Coris julis,334218347,https://inaturalist-open-data.s3.amazonaws.com/photos/334218347/medium.jpeg,CC-BY 4.0,Yannick Brenz,pirminfly,2023-10-14,https://www.inaturalist.org/observations/190625949,"© Yannick Brenz, some rights reserved (CC-BY)",8b7c6521ac7cd935e3eebaed0e7cc1c2df6aae343ae3fbf48947a826d86c4f74
Coris julis,314380081,https://inaturalist-open-data.s3.amazonaws.com/photos/314380081/medium.jpeg,CC-BY 4.0,Sarah Faulwetter,sarahfaulwetter,2023-08-27,https://www.inaturalist.org/observations/180477737,"© Sarah Faulwetter, some rights reserved (CC-BY)",cb704f28c12cc764eb5389238f26bac1f67db7bb8c84fa08e5920b4b3a7b3019
Coris julis,359529390,https://inaturalist-open-data.s3.amazonaws.com/photos/359529390/medium.jpeg,CC-BY 4.0,Tim Parker,n0xas,2005-07-22,https://www.inaturalist.org/observations/203486808,"© Tim Parker, some rights reserved (CC-BY)",04d643e894b5a6d4ccc5ef8086963b2346e248b138c4c8763609f3a92eb7bc13
Coris julis,465775832,https://inaturalist-open-data.s3.amazonaws.com/photos/465775832/medium.jpg,CC-BY 4.0,Selim Türeli,selimtureli,2022-06-25,https://www.inaturalist.org/observations/259467032,"© Selim Türeli, some rights reserved (CC-BY)",146ee2dbc93889dcf91c70cd9983b8a782f01443cfe03e454bee3db53b0bcd28
Coris julis,696549412,https://inaturalist-open-data.s3.amazonaws.com/photos/696549412/medium.jpg,CC-BY 4.0,Gonzalo Colomer,gonzalocolomer2,2026-07-12,https://www.inaturalist.org/observations/380718566,"© Gonzalo Colomer, some rights reserved (CC-BY)",17fe7fddfb0b32c3a1fffb623877a5c6b3f45dcade938debf51e7b31edca6ab8
Coris julis,553355926,https://inaturalist-open-data.s3.amazonaws.com/photos/553355926/medium.jpg,CC-BY 4.0,Davide,dedde,2025-08-16,https://www.inaturalist.org/observations/306825826,"© Davide, some rights reserved (CC-BY)",8501f926d22bb43c25455c1862896e0efe83e265c4e74039149bfe40d94204d8
Coris julis,553356058,https://inaturalist-open-data.s3.amazonaws.com/photos/553356058/medium.jpg,CC-BY 4.0,Davide,dedde,2025-08-16,https://www.inaturalist.org/observations/306825826,"© Davide, some rights reserved (CC-BY)",7f995afe69c36936c91bd22546287569a8ae6d82ce525b7b7ca9ee830df2aec1
Coris julis,553355937,https://inaturalist-open-data.s3.amazonaws.com/photos/553355937/medium.jpg,CC-BY 4.0,Davide,dedde,2025-08-16,https://www.inaturalist.org/observations/306825826,"© Davide, some rights reserved (CC-BY)",f12cad040e1ed98a7bff07b56675ebafdea5305ee77a7ad689560c1ade053c24
Coris julis,133106401,https://inaturalist-open-data.s3.amazonaws.com/photos/133106401/medium.jpg,CC-BY 4.0,Donald Davesne,donalddavesne,2021-05-17,https://www.inaturalist.org/observations/81170173,"© Donald Davesne, some rights reserved (CC-BY)",b7632cd4d789e7613a7d277c1902dcd0b97943cf4bee0b62e05d34924d30cb55
Coris julis,151781216,https://inaturalist-open-data.s3.amazonaws.com/photos/151781216/medium.jpg,CC-BY 4.0,Ernesto Fernandez Polcuch,efpolcuch,2021-08-18,https://www.inaturalist.org/observations/91731223,"© Ernesto Fernandez Polcuch, some rights reserved (CC-BY)",e67ebab34774d2d9f6a138270c26dfbbd22663ac5fdf93a8e3149f610792e5da
