Porites lobata|Poritidae
Acropora sp.|Acroporidae
Acanthurus coeruleus|Acanthuridae
Xestospongia testudinaria|Petrosiidae
Porites sp.|Poritidae
Gorgonia flabellum|Gorgoniidae
Chromis viridis|Pomacentridae
Acropora hyacinthus|Acroporidae
Haemulon flavolineatum|Haemulidae
Crustose coralline algae|Corallinaceae
Triaenodon obesus|Carcharhinidae
Platax teira|Ephippidae
Heniochus acuminatus|Chaetodontidae
Pseudanthias squamipinnis|Serranidae
Pocillopora verrucosa|Pocilloporidae
Abudefduf saxatilis|Pomacentridae
Haemulon sciurus|Haemulidae
Amphiprion clarkii|Pomacentridae
Aetobatus narinari|Aetobatidae
Zanclus cornutus|Zanclidae
Turbinaria sp.|Dendrophylliidae
Carcharhinus perezi|Ginglymostomatidae
Dascyllus aruanus|Pomacentridae
Acanthurus bahianus|Acanthuridae
Pocillopora sp.|Pocilloporidae
Chaetodon striatus|Chaetodontidae
Sphyrna lewini|Sphyrnidae
Heteractis magnifica|Stichodactylidae
Carcharhinus plumbeus|Carcharhinidae
Pomacentridae|Pomacentridae
Ocyurus chrysurus|Lutjanidae
Caesio teres|Caesionidae
Actinopterygii|Lutjanidae
Tridacna gigas|Cardiidae
Thalassia testudinum|Hydrocharitaceae
Scaridae|Labridae
Anthozoa|
Anisotremus virginicus|Haemulidae
Acanthuridae|Acanthuridae
Subergorgia mollis|Gorgoniidae
Montipora sp.|Acroporidae
Acropora cytherea|Acroporidae
Haemulon plumierii|Haemulidae
Ginglymostoma cirratum|Ginglymostomatidae
Turbinaria reniformis|Dendrophylliidae
Siderastrea siderea|Siderastreidae
Sarcophyton sp.|Alcyoniidae
Pomacanthus arcuatus|Pomacanthidae
Platax orbicularis|Ephippidae
Chaetodontidae|
Sparisoma viride|Scaridae
Pterocaesio tile|Caesionidae
Platygyra sp.|Mussidae
Platygyra sinensis|Merulinidae
Lutjanus kasmira|Lutjanidae
Hypanus americanus|Dasyatidae
Acropora grandis|Acroporidae
Subergorgia sp.|Gorgoniidae
Lobophytum sp.|Alcyoniidae
Chaetodon capistratus|Chaetodontidae
Pomacanthus paru|Pomacanthidae
Odonus niger|Balistidae
Melichthys niger|Balistidae
Holacanthus ciliaris|Pomacanthidae
Chaetodon lunula|Chaetodontidae
Chaetodon kleinii|Chaetodontidae
Carcharhinus amblyrhynchos|Carcharhinidae
Balistoides viridescens|Balistidae
Thalassoma lunare|Labridae
Culcita novaeguineae|Oreasteridae
Corallinales|Corallinaceae
Chaetodon sp.|
Amblyglyphidodon aureus|Pomacentridae
Acanthostracion quadricomis|Ostraciidae
Turbinaria mesenterina|Dendrophylliidae
Pomacanthus annularis|Pomacanthidae
Plectorhinchus vittatus|Haemulidae
Lithothamnion sp.|Hapalidiaceae
Linckia laevigata|Ophidiasteridae
Holacanthus tricolor|Pomacanthidae
Forcipiger flavissimus|Chaetodontidae
Diadema setosum|Diadematidae
Dascyllus trimaculatus|Pomacentridae
Chaetodon ulietensis|Chaetodontidae
Chaetodipterus faber|Ephippidae
Balistidae|
Zebrasoma flavescens|Acanthuridae
Synanceia verrucosa|Synanceiidae
Spirobranchus giganteus|Serpulidae
Sepiidae|
Pseudopterogorgia americana|Gorgoniidae
Pomacanthus imperator|Pomacanthidae
Paracanthurus hepatus|Acanthuridae
Otagonidae|
Mulloidichthys vanicolensis|Mullidae
Dasyatis lata|Dasyatidae
Condylactis gigantea|Actiniidae
Thalassoma hardwicke|Labridae
Symphyllia radians|Mussidae
Sparidae|
Sinularia flexibilis|
Scombridae|Carangidae
Pseudodiploria strigosa|Mussidae
Naso hexacanthus|Acanthuridae
Montipora foliosa|Acroporidae
Lutjanus griseus|Lutjanidae
Lutjanus apodus|Lutjanidae
Isis hippuris|Plexauridae
Halichoeres bivittatus|Labridae
Gorgonia ventalina|Gorgoniidae
Fistularia commersonii|Fistulariidae
Chelonia mydas|Cheloniidae
Chaetodon auriga|Chaetodontidae
Centropyge bicolor|Pomacanthidae
Carcharhinus melanopterus|Carcharhinidae
Caranx sexfasciatus|Carangidae
Callyspongia plicifera|Callyspongiidae
Acropora palmata|Acroporidae
Abudefduf vaigiensis|Pomacentridae
Sargassum sp.|Sargassaceae
Sarcophyton trocheliophorum|Alcyoniidae
Pomacanthus sexstriatus|Pomacanthidae
Naso lituratus|Acanthuridae
Lobophora variegata|Dictyotaceae
Lithophyllum sp.|Corallinaceae
Lactophrys bicaudalis|Ostraciidae
Labroides dimidiatus|Labridae
Holothuria atra|Holothuriidae
Hermodice carunculata|Amphinomidae
Heniochus diphreutes|Chaetodontidae
Diploria labyrinthiformis|Mussidae
Diodon hystrix|Diodontidae
Crinoid|Comasteridae
Choriaster granulatus|Oreasteridae
Aulostomus chinensis|Aulostomidae
Arothron hispidus|Tetraodontidae
Aplysina fistularis|Aplysinidae
Antipathes sp.|Antipathidae
Amphiprion ocellaris|Pomacentridae
Thalassoma pavo|Labridae
Thalassoma bifasciatum|Labridae
Sparisoma chrysopterum|Scaridae
Serranus scriba|Serranidae
Sepia officinalis|Sepiidae
Sanopus splendidus|Batrachoididae
Sabellastarte sp.|Sabellidae
Sabellastarte magnifica|Sabellidae
Pseudopterogorgia sp.|Gorgoniidae
Posidonia oceanica|Posidoniaceae
Porites astreoides|Poritidae
Pomacanthidae|
Plectorhinchus lineatus|Haemulidae
Phyllidia varicosa|Phyllidiidae
Oreaster reticulatus|Oreasteridae
Octopodidae|
Oblada melanura|Sparidae
Montipora capricornis|Acroporidae
Monacanthidae|
Macolor macularis|
Lithophyllum incrustans|Corallinaceae
Lactophrys triqueter|Ostraciidae
Hemitaurichthys polylepis|Chaetodontidae
Haliclona sp.|Aplysinidae
Haemulon aurolineatum|Haemulidae
Gymnothorax favagineus|Muraenidae
Elacatinus oceanops|Gobiidae
Diplodus vulgaris|Sparidae
Diploastrea heliopora|Merulinidae
Dendronephthya sp.|Nephtheidae
Crustose Coralline Algae|
Colpophyllia natans|Mussidae
Clepticus parrae|Labridae
Cirrhipathes sp.|Antipathidae
Chrysiptera parasema|Pomacentridae
Chromodoris willani|Chromodorididae
Chaetodontoplus chrysocephalus|Pomacanthidae
Chaetodon trifascialis|Chaetodontidae
Chaetodon melannotus|
Chaetodon lunulatus|Chaetodontidae
Caranx ruber|Carangidae
Caranx melampygus|Carangidae
Caranx ignobilis|Carangidae
Carangidae|Carangidae
Cantherhines macrocerus|Monacanthidae
Caesio cuning|
Bohadschia argus|Holothuriidae
Balistoides conspicillum|Balistidae
Antipathidae|
Anisotremidae|
Amphiprioninae|Pomacentridae
Aluterus scriptus|Monacanthidae
Alcyoniidae|
Acanthurus nigrosuffusus|
Acanthurus lineatus|
Acanthaster planci|Acanthasteridae
Xestospongia muta|Petrosiidae
Various|
Tridacna maxima|Cardiidae
Thelenota ananas|Stichopodidae
Stichopus herrmanni|Stichopodidae
Stichodactyla haddoni|Stichodactylidae
Sphyraena qenie|Sphyraenidae
Sparisomidae|
Sparisomatidae|
Serranidae|
Scorpaenopsis oxycephala|Scorpaenidae
Scorpaenopsis diabolus|Scorpaenidae
Sarpa salpa|Sparidae
Sardinella elongata|
Rhodophyta sp.|
Rhincodon typus|Rhincodontidae
Pygoplites diacanthus|Pomacanthidae
Pterois miles|Scorpaenidae
Pterois|Scorpaenidae
Ptereleotris zebra|Ptereleotridae
Pseudoceros|
Pseudobalistes flavimarginatus|Balistidae
Prionurus laticlavius|
Priacanthidae|Priacanthidae
Porolithon onkodes|Corallinaceae
Pomacentrus moluccensis|Pomacentridae
Pomacentridae sp.|
Pomacanthus xanthometopon|Pomacanthidae
Polycarpa aurata|Styelidae
Plectropomus leopardus|Serranidae
Plectorhinchus multivittatus|Haemulidae
Phyllidia ocellata|Phyllidiidae
Pholidichthys leucotaenia|Pholidichthyidae
Percidae|
Patiria miniata|Asterinidae
Paracirrhites arcatus|Cirrhitidae
Papilloculiceps longiceps|Platycephalidae
Panulirus versicolor|Palinuridae
Panulirus sp.|Palinuridae
Panulirus argus|Palinuridae
Pachyseris sp.|
Ostraciidae|Ostraciidae
Orbicella faveolata|Merulinidae
Orbicella annularis|Merulinidae
Opistognathus sp.|Opistognathidae
Octopus vulgaris|Octopodidae
Neoglyphidodon melas|
Nembrotha kubaryana|Phyllidiidae
Naso unicornis|Acanthuridae
Mycteroperca bonaci|Serranidae
Muraenidae|
Mullus surmuletus|Mullidae
Mulloidichthys flavolineatus|
Montipora undata|Agariciidae
Monotaxis grandoculis|Lethrinidae
Miscellaneous Sponge Families|
Millepora sp.|
Manta birostris|Mobulidae
Manta|Mobulidae
Macolor niger|Lutjanidae
Lithopoma tuber|Tegulidae
Leodia sexiesperforata|Mellitidae
Labridae|Labridae
Kyphosus sectatrix|Kyphosidae
Hypoplectrus nigricans|Serranidae
Holothuria mexicana|Holothuriidae
Holocentrus adscensionis|Holocentridae
Heterocongrinae|Congridae
Heliopora coerulea|Helioporidae
Halophila sp.|Hydrocharitaceae
Halichoeres hortulanus|Labridae
Haemulon carbonarium|Haemulidae
Gymnothorax sp.|
Gymnothorax moringa|Muraenidae
Gymnothorax meleagris|
Gymnothorax javanicus|
Gorgoniidae|
Goniastrea retiformis|
Girellia tridentata|
Galeocerdo cuvier|Carcharhinidae
